Feature,Importance
Streptococcus_peroris,0.0
Faecalicoccus_pleomorphus,0.0
Alistipes_shahii,0.0
Lactiplantibacillus_plantarum,0.0
Gardnerella_vaginalis,0.0
Streptococcus_vestibularis,0.0
Gemella_morbillorum,0.0
Solobacterium_moorei,0.0
Companilactobacillus_nodensis,0.0
Lactobacillus_gasseri,0.0
Blautia_hansenii,0.0
Megasphaera_micronuciformis,0.0
Enterococcus_casseliflavus,0.0
Hungatella_hathewayi,0.0
Bifidobacterium_longum,0.0
Murimonas_intestini,0.0
Parabacteroides_gordonii,0.0
Streptococcus_salivarius,0.0
Citrobacter_freundii,0.0
Intestinimonas_butyriciproducens,0.0
Fructilactobacillus_sanfranciscensis,0.0
Eikenella_corrodens,0.0
Scardovia_wiggsiae,0.0
Bifidobacterium_angulatum,0.0
Dialister_invisus,0.0
Tyzzerella_nexilis,0.0
Lancefieldella_rimae,0.0
Lactococcus_petauri,0.0
Limosilactobacillus_fermentum,0.0
Coprococcus_comes,0.0
Methanosphaera_stadtmanae,0.0
Coprobacter_secundus,0.0
Streptococcus_australis,0.0
Atopobium_minutum,0.0
Anaerotruncus_colihominis,0.0
Candidatus_Gastranaerophilales_bacterium,0.0
Schaalia_turicensis,0.0
Bifidobacterium_adolescentis,0.1231333342750238
Dielma_fastidiosa,0.0
Haemophilus_sputorum,0.0
Fannyhessea_vaginae,0.0
Megasphaera_stantonii,0.0
Finegoldia_magna,0.0
Anaeroglobus_geminatus,0.0
Bifidobacterium_animalis,0.0
Comamonas_kerstersii,0.0
Streptococcus_cristatus,0.0
Coprococcus_catus,0.0
Sarcina_ventriculi,0.0
Staphylococcus_saprophyticus,0.0
Peptoniphilus_asaccharolyticus,0.0
Fusobacterium_necrophorum,0.0
Phocaeicola_coprocola,0.0
Succinatimonas_hippei,0.0
Clostridium_butyricum,0.0
Lachnospira_eligens,0.0
Alistipes_timonensis,0.0
Peptoniphilus_coxii,0.0
Peptostreptococcus_stomatis,0.0
Morganella_morganii,0.0
Lachnospira_pectinoschiza,0.0
Bacteroides_finegoldii,0.0
Megamonas_hypermegale,0.0
Enterococcus_faecium,0.0
Sanguibacteroides_justesenii,0.0
Candidatus_Methanomassiliicoccus_intestinalis,0.0
Ligilactobacillus_saerimneri,0.0
Enterocloster_lavalensis,0.0
Alistipes_putredinis,0.0
Coprobacillus_cateniformis,0.0
Fusobacterium_mortiferum,0.0
Streptococcus_parasanguinis,0.0
Citrobacter_portucalensis,0.0
Streptococcus_sanguinis,0.0
Bacteroides_faecis,0.0
Collinsella_intestinalis,0.0
Companilactobacillus_alimentarius,0.0
Subdoligranulum_variabile,0.0
Porphyromonas_uenonis,0.0
Eubacterium_pyruvativorans,0.0
Clostridium_paraputrificum,0.0
Ligilactobacillus_salivarius,0.0
Anaerobutyricum_hallii,0.0
Fusobacterium_periodonticum,0.0
Slackia_exigua,0.0
Slackia_isoflavoniconvertens,0.0
Christensenella_hongkongensis,0.0
Bifidobacterium_catenulatum,0.0
Eisenbergiella_tayi,0.0
Klebsiella_oxytoca,0.0
Haemophilus_parahaemolyticus,0.0
Prevotella_corporis,0.0
Odoribacter_laneus,0.0
Fusicatenibacter_saccharivorans,0.0
Gemella_haemolysans,0.0
Lactobacillus_iners,0.0
Staphylococcus_equorum,0.0
Enterocloster_citroniae,0.0
Victivallis_vadensis,0.0
Escherichia_coli,0.0
Campylobacter_concisus,0.0
Odoribacter_splanchnicus,0.0
Klebsiella_aerogenes,0.0
Enterococcus_hirae,0.0
Phocaeicola_plebeius,0.0
Blautia_hydrogenotrophica,0.0
Butyricimonas_virosa,0.0
Eubacterium_limosum,0.0
Bacteroides_oleiciplenus,0.0
Klebsiella_variicola,0.0
Enterocloster_clostridioformis,0.0
Actinomyces_graevenitzii,0.0
Limosilactobacillus_vaginalis,0.0
Phascolarctobacterium_succinatutens,0.0
Peptostreptococcus_anaerobius,0.0
Helicobacter_pullorum,0.0
Romboutsia_hominis,0.0
Parabacteroides_merdae,0.0
Klebsiella_michiganensis,0.0
Lactobacillus_crispatus,0.0
Anaerostipes_hadrus,0.0
Veillonella_atypica,0.0
Phocaeicola_massiliensis,0.0
Bacteroides_cellulosilyticus,0.0
Actinomyces_oris,0.0
Oribacterium_sinus,0.0
Citrobacter_koseri,0.0
Lactobacillus_delbrueckii,0.0
Bacteroides_caccae,0.0
Leuconostoc_pseudomesenteroides,0.0
Clostridium_perfringens,0.0
Prevotella_jejuni,0.0
Weissella_cibaria,0.0
Ruminococcus_bicirculans,0.0
Limosilactobacillus_reuteri,0.0
Turicimonas_muris,0.0
Bifidobacterium_dentium,0.0
Desulfovibrio_piger,0.0
Bacteroides_xylanisolvens,0.09381683966145239
Sneathia_vaginalis,0.0
Enterococcus_faecalis,0.0
Lactobacillus_helveticus,0.0
Carnobacterium_divergens,0.0
Anaerotignum_lactatifermentans,0.0
Fusobacterium_gonidiaformans,0.0
Paraclostridium_bifermentans,0.0
Acinetobacter_lwoffii,0.0
Phocaeicola_salanitronis,0.0
Lactobacillus_amylovorus,0.0
Roseburia_faecis,0.0
Fusobacterium_nucleatum,0.0
Streptococcus_mutans,0.0
Clostridiales_bacterium_CHKCI006,0.0
Dialister_pneumosintes,0.0
Veillonella_seminalis,0.0
Phocaeicola_coprophilus,0.0
Enterocloster_asparagiformis,0.0
Leuconostoc_gelidum,0.0
Bifidobacterium_bifidum,0.0
Corynebacterium_argentoratense,0.0
Veillonella_rogosae,0.0
Coprobacter_fastidiosus,0.0
Butyrivibrio_crossotus,0.0
Peptoniphilus_grossensis,0.0
Prevotella_stercorea,0.0
Rikenella_microfusus,0.0
Bacteroides_nordii,0.0
Aggregatibacter_segnis,0.0
Clostridium_disporicum,0.0
Streptococcus_lutetiensis,0.0
Lacticaseibacillus_rhamnosus,0.0
Hafnia_paralvei,0.0
Eubacterium_ramulus,0.0
Bacteroides_uniformis,0.0
Proteus_mirabilis,0.0
Cloacibacillus_porcorum,0.0
Parabacteroides_johnsonii,0.0
Enterocloster_aldenensis,0.0
Prevotella_buccalis,0.0
Eggerthella_lenta,0.0
Lawsonibacter_asaccharolyticus,0.0
Bifidobacterium_scardovii,0.0
Actinotignum_schaalii,0.0
Roseburia_inulinivorans,0.0
Oribacterium_parvum,0.0
Atopobium_deltae,0.0
Streptococcus_sobrinus,0.0
Fusobacterium_varium,0.0
Clostridium_baratii,0.0
Aggregatibacter_aphrophilus,0.0
Mitsuokella_jalaludinii,0.0
Desulfovibrio_fairfieldensis,0.0
Dialister_micraerophilus,0.0
Romboutsia_ilealis,0.0
Prevotella_disiens,0.0
Enorma_massiliensis,0.0
Eisenbergiella_massiliensis,0.0
Weissella_confusa,0.0
Massilimicrobiota_timonensis,0.0
Holdemanella_biformis,0.0
Dorea_formicigenerans,0.2651234674496541
Mitsuokella_multacida,0.0
Loigolactobacillus_coryniformis,0.0
Campylobacter_showae,0.0
Bacteroides_intestinalis,0.0
Ezakiella_coagulans,0.0
Citrobacter_braakii,0.0
Klebsiella_pneumoniae,0.0
Flavonifractor_plautii,0.47250644286368193
Lactobacillus_johnsonii,0.0
Coprococcus_eutactus,0.0
Streptococcus_agalactiae,0.0
Streptococcus_thermophilus,0.0
Gemella_asaccharolytica,0.0
Faecalibacterium_prausnitzii,0.0
Anaerostipes_caccae,0.0
Blautia_wexlerae,0.0
Lancefieldella_parvula,0.0
Oxalobacter_formigenes,0.0
Bacteroides_fragilis,0.0
Latilactobacillus_curvatus,0.0
Leuconostoc_mesenteroides,0.0
Acidaminococcus_intestini,0.0
Campylobacter_hominis,0.0
Faecalitalea_cylindroides,0.0
Ligilactobacillus_ruminis,0.0
Schaalia_odontolytica,0.0
Streptococcus_gordonii,0.0
Dialister_succinatiphilus,0.0
Parascardovia_denticolens,0.0
Bifidobacterium_pullorum,0.0
Mogibacterium_diversum,0.0
Pyramidobacter_piscolens,0.0
Klebsiella_quasipneumoniae,0.0
Abiotrophia_defectiva,0.0
Kluyvera_ascorbata,0.0
Haemophilus_paraphrohaemolyticus,0.0
Mogibacterium_pumilum,0.0
Peptoniphilus_duerdenii,0.0
Bacteroides_fluxus,0.0
Christensenella_minuta,0.0
Megasphaera_elsdenii,0.0
Prevotella_timonensis,0.0
Clostridioides_difficile,0.0
Gemmiger_formicilis,0.026780212710002537
Ruminococcus_bromii,0.0
Limosilactobacillus_oris,0.0
Phascolarctobacterium_faecium,0.0
Ruthenibacterium_lactatiformans,0.0
Clostridium_cadaveris,0.0
Acinetobacter_johnsonii,0.0
Intestinibacter_bartlettii,0.0
Bifidobacterium_pseudocatenulatum,0.0
Allisonella_histaminiformans,0.0
Anaerofustis_stercorihominis,0.0
Lactonifactor_longoviformis,0.0
Alistipes_finegoldii,0.0
Porphyromonas_asaccharolytica,0.0
Haemophilus_haemolyticus,0.0
Megamonas_funiformis,0.0
Macrococcus_caseolyticus,0.0
Ruminococcus_callidus,0.0
Helicobacter_winghamensis,0.0
Pediococcus_acidilactici,0.0
Lactococcus_lactis,0.0
Akkermansia_muciniphila,0.0
Roseburia_hominis,0.0
Streptococcus_mitis,0.0
Bacteroides_clarus,0.0
Leuconostoc_carnosum,0.0
Prevotella_buccae,0.0
