run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
ERR209100	SAMEA2042367	ERX183765	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209100/ERR209100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209100/ERR209100_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209100/MH0016_081224.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209100/MH0016_081224.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209100	Stool sample from danish	
ERR209107	SAMEA2042371	ERX183772	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209107/ERR209107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209107/ERR209107_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209107/MH0019_081119.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209107/MH0019_081119.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209107	Stool sample from danish	
ERR209109	SAMEA2042372	ERX183774	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209109/ERR209109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209109/ERR209109_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209109/MH0020_090120.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209109/MH0020_090120.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209109	Stool sample from danish	
ERR209111	SAMEA2042373	ERX183776	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209111/ERR209111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209111/ERR209111_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209111/MH0021_090201.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209111/MH0021_090201.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209111	Stool sample from danish	
ERR209112	SAMEA2042374	ERX183777	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209112/ERR209112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209112/ERR209112_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209112/MH0022_081108.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209112/MH0022_081108.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209112	Stool sample from danish	
ERR209118	SAMEA2042087	ERX183783	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209118/ERR209118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209118/ERR209118_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209118/MH0025_090120.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209118/MH0025_090120.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209118	Stool sample from danish	
ERR209121	SAMEA2042088	ERX183786	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209121/ERR209121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209121/ERR209121_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209121/MH0026_090117.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209121/MH0026_090117.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209121	Stool sample from danish	
ERR209124	SAMEA1965033	ERX183789	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209124/ERR209124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209124/ERR209124_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209124/MH0028_081223.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209124/MH0028_081223.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209124	Stool sample from danish	
ERR209131	SAMEA2042092	ERX183796	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209131/ERR209131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209131/ERR209131_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209131/MH0032_090121.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209131/MH0032_090121.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209131	Stool sample from danish	
ERR209132	SAMEA2042093	ERX183797	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209132/ERR209132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209132/ERR209132_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209132/MH0033_081224.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209132/MH0033_081224.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209132	Stool sample from danish	
ERR209134	SAMEA2042095	ERX183799	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209134/ERR209134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209134/ERR209134_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209134/MH0034_081213.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209134/MH0034_081213.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209134	Stool sample from danish	
ERR209137	SAMEA2042096	ERX183802	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209137/ERR209137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209137/ERR209137_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209137/MH0035_090122.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209137/MH0035_090122.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209137	Stool sample from danish	
ERR209138	SAMEA2042097	ERX183803	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209138/ERR209138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209138/ERR209138_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209138/MH0036_081226.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209138/MH0036_081226.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209138	Stool sample from danish	
ERR209139	SAMEA2042097	ERX183804	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209139/ERR209139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209139/ERR209139_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209139/MH0036_090122.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209139/MH0036_090122.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209139	Stool sample from danish	
ERR209145	SAMEA2042100	ERX183810	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209145/ERR209145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209145/ERR209145_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209145/MH0039_090122.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209145/MH0039_090122.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209145	Stool sample from danish	
ERR209146	SAMEA2042191	ERX183811	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209146/ERR209146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209146/ERR209146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209146/MH0040_081223.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209146/MH0040_081223.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209146	Stool sample from danish	
ERR209147	SAMEA2042191	ERX183812	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209147/ERR209147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209147/ERR209147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209147/MH0040_090125.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209147/MH0040_090125.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209147	Stool sample from danish	
ERR209150	SAMEA2042193	ERX183815	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209150/ERR209150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209150/ERR209150_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209150/MH0042_081226.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209150/MH0042_081226.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209150	Stool sample from danish	
ERR209155	SAMEA2042195	ERX183820	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209155/ERR209155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209155/ERR209155_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209155/MH0044_090125.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209155/MH0044_090125.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209155	Stool sample from danish	
ERR209156	SAMEA2042196	ERX183821	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209156/ERR209156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209156/ERR209156_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209156/MH0045_081223.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209156/MH0045_081223.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209156	Stool sample from danish	
ERR209157	SAMEA2042196	ERX183822	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209157/ERR209157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209157/ERR209157_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209157/MH0045_090125.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209157/MH0045_090125.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209157	Stool sample from danish	
ERR209164	SAMEA2042200	ERX183829	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209164/ERR209164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209164/ERR209164_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209164/MH0049_081223.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209164/MH0049_081223.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209164	Stool sample from danish	
ERR209165	SAMEA2042200	ERX183830	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209165/ERR209165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209165/ERR209165_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209165/MH0049_090201.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209165/MH0049_090201.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209165	Stool sample from danish	
ERR209171	SAMEA2042203	ERX183836	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209171/ERR209171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209171/ERR209171_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209171/MH0052_090201.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209171/MH0052_090201.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209171	Stool sample from danish	
ERR209172	SAMEA2042204	ERX183837	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209172/ERR209172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209172/ERR209172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209172/MH0053_081222.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209172/MH0053_081222.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209172	Stool sample from danish	
ERR209175	SAMEA2042205	ERX183840	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209175/ERR209175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209175/ERR209175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209175/MH0054_090125.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209175/MH0054_090125.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209175	Stool sample from danish	
ERR209181	SAMEA2042288	ERX183846	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209181/ERR209181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209181/ERR209181_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209181/MH0057_090125.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209181/MH0057_090125.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209181	Stool sample from danish	
ERR209182	SAMEA2042289	ERX183847	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209182/ERR209182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209182/ERR209182_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209182/MH0058_081230.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209182/MH0058_081230.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209182	Stool sample from danish	
ERR209185	SAMEA2042290	ERX183850	PRJEB1220	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209185/ERR209185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/ERR209185/ERR209185_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209185/MH0059_090105.rmhost.pair.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR209/ERR209185/MH0059_090105.rmhost.pair.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR209/ERR209185	Stool sample from danish	
